Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,Latitude,Longitude
Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,Paul Rhys,,44.933143,7.540121
When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
When a Man Loves a Woman,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
When a Man Loves a Woman,1994,Spring Valley School (1451 Jackson Street),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,38.9741731,-94.4802308
When a Man Loves a Woman,1994,"International Studies Academy (993 Vermont Street, Potrero Hill)",,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
When a Man Loves a Woman,1994,Grant Street at Pacific Avenue,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
When a Man Loves a Woman,1994,Cybelle's Pizza (1000 Bush Street),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
When a Man Loves a Woman,1994,766 Vallejo Street at Stockton Street (North Beach),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
When a Man Loves a Woman,1994,1521 Masonic Avenue at Piedmont Street,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,,
Copycat,1995,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,37.8233541,-122.37015310228703
Copycat,1995,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,37.75464,-122.44648
Copycat,1995,Sound Factory (1st and Harrison Streets),,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,,
